replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211122,m2-472,IMG_3749.JPG,20211122_IMG_3749,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3749.JPG,FALSE,r,17.4585601377741,2.66527252411559,2,1.98255271601521
replicate_2,gen_3,20211122,m2-468,IMG_3707.JPG,20211122_IMG_3707,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3707.JPG,FALSE,r,6.41189263142849,3.13141316888394,2,3.13141316888394
replicate_2,gen_3,20211122,m2-472,IMG_3759.JPG,20211122_IMG_3759,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3759.JPG,FALSE,l,17.9308551555271,2.03035785869836,2,2.03035785869836
replicate_2,gen_3,20211123,m2-473,IMG_3764.JPG,20211123_IMG_3764,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3764.JPG,FALSE,l,5.10640792636454,2.53268452834613,2,2.53268452834613
replicate_2,gen_3,20211123,m2-473,IMG_3768.JPG,20211123_IMG_3768,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3768.JPG,FALSE,r,5.02611779364547,3.06320985287775,2,3.06320985287775
replicate_2,gen_3,20211122,m2-472,IMG_3747.JPG,20211122_IMG_3747,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3747.JPG,FALSE,r,14.8764895412469,3.08085715746944,2,1.92093284917915
replicate_2,gen_3,20211122,m2-470,IMG_3721.JPG,20211122_IMG_3721,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3721.JPG,FALSE,l,8.22007891275756,1.71087242437527,2,1.56619903551074
replicate_2,gen_3,20211122,m2-471,IMG_3740.JPG,20211122_IMG_3740,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3740.JPG,TRUE,l,7.33551022038485,2.25078138262285,2,2.24678709445493
replicate_2,gen_3,20211123,m2-475,IMG_3781.JPG,20211123_IMG_3781,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3781.JPG,FALSE,r,7.55159423751262,1.68488704091713,2,1.68488704091713
replicate_2,gen_3,20211123,m2-476,IMG_3789.JPG,20211123_IMG_3789,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3789.JPG,FALSE,r,5.64385480975524,2.75953413021586,2,2.75953413021586
replicate_2,gen_3,20211122,m2-467,IMG_3697.JPG,20211122_IMG_3697,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3697.JPG,FALSE,r,4.59844878731435,1.96513220786644,2,1.94739279977136
replicate_2,gen_3,20211129,m2-480,IMG_3836.JPG,20211129_IMG_3836,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3836.JPG,FALSE,l,6.31964376160729,3.67740165456694,2,3.25953908492318
replicate_2,gen_3,20211129,m2-488,IMG_3958.JPG,20211129_IMG_3958,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3958.JPG,FALSE,r,9.89503479183866,6.0807092031293,2,3.89295121280025
replicate_2,gen_3,20211129,m2-477,IMG_3799.JPG,20211129_IMG_3799,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3799.JPG,FALSE,l,4.82497822127188,3.55092262611863,2,3.42618991050923
replicate_2,gen_3,20211129,m2-486,IMG_3936.JPG,20211129_IMG_3936,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3936.JPG,FALSE,l,7.63642413487134,4.16038154392192,2,4.29458740017746
replicate_2,gen_3,20211129,m2-478,IMG_3814.JPG,20211129_IMG_3814,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3814.JPG,TRUE,l,0.543335378143896,6.00188414687582,2,2.44610463587766
replicate_2,gen_3,20211129,m2-489,IMG_3969.JPG,20211129_IMG_3969,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3969.JPG,TRUE,r,2.41487667341053,2.14799190736516,2,2.09095605010546
replicate_2,gen_3,20211129,m2-478,IMG_3816.JPG,20211129_IMG_3816,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3816.JPG,FALSE,r,1.02419901069354,2.94021058681062,2,2.5923113236592
replicate_2,gen_3,20211129,m2-481,IMG_3853.JPG,20211129_IMG_3853,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3853.JPG,FALSE,l,11.3796138011956,4.01573927028859,2,2.88384701752966
